RANK,TITLE,RATING,YEAR,GENRE,DESCRIPTION,ACTORS,DURATION,BOXOFFICE
8.2,V for Vendetta ,8.2,Drama,Action,"In a future British tyranny, a shadowy freedom fighter, known only by the alias of ""V"", plots to overthrow it with the help of a young woman.","Hugo Weaving,Natalie Portman,Rupert Graves",2h 12min,"
            $54,000,000
            
        "
8.2,Room ,8.2,Thriller,Drama,"Held captive for 7 years in an enclosed space, a woman and her young son finally gain their freedom, allowing the boy to experience the outside world for the first time.","Brie Larson,Jacob Tremblay,Sean Bridgers",1h 58min,"
            $13,000,000
            
        "
8.2,Mr. Smith Goes to Washington ,8.2,Drama,Comedy,"A naive man is appointed to fill a vacancy in the United States Senate. His plans promptly collide with political corruption, but he doesn't back down.","James Stewart,Jean Arthur,Claude Rains",2h 9min,"
 $9,600,000
        "
8.2,The Elephant Man ,8.2,Drama,Biography,"A Victorian surgeon rescues a heavily disfigured man who is mistreated while scraping a living as a side-show freak. Behind his monstrous façade, there is revealed a person of intelligence and sensitivity.","Anthony Hopkins,John Hurt,Anne Bancroft",2h 4min,"
 $26,010,864, 
        "
8.2,"Three Billboards Outside Ebbing, Missouri ",8.2,Drama,Crime,A mother personally challenges the local authorities to solve her daughter's murder when they fail to catch the culprit.,"Frances McDormand,Woody Harrelson,Sam Rockwell",1h 55min,"
            $15,000,000
            
        "
8.2,On the Waterfront ,8.2,Drama,Crime,An ex-prize fighter turned longshoreman struggles to stand up to his corrupt union bosses.,"Marlon Brando,Karl Malden,Lee J. Cobb",1h 48min,"
            $910,000
            
        "
8.2,The Bridge on the River Kwai ,8.2,Drama,Adventure,"After settling his differences with a Japanese P.O.W. camp commander, a British colonel co-operates to oversee his men's construction of a railway bridge for their captors, while oblivious to a plan by the Allies to destroy it.","William Holden,Alec Guinness,Jack Hawkins",2h 41min,"
 $44,908,000
        "
8.2,The Wolf of Wall Street ,8.2,Crime,Biography,Based on the true story of,"Leonardo DiCaprio,Jonah Hill,Margot Robbie",3h,"
            $100,000,000
            
        "
8.2,Casino ,8.2,Drama,Crime,"A tale of greed, deception, money, power, and murder occur between two best friends: a mafia enforcer and a casino executive, compete against each other over a gambling empire, and over a fast living and fast loving socialite.","Robert De Niro,Sharon Stone,Joe Pesci",2h 58min,"
  Show more on
   »
  "
8.2,A Beautiful Mind ,8.2,Drama,Biography,After,"Russell Crowe,Ed Harris,Jennifer Connelly",2h 15min,"
            $58,000,000
            
        "
8.2,The Seventh Seal ,8.2,Fantasy,Drama,"A man seeks answers about life, death, and the existence of God as he plays chess against the Grim Reaper during the Black Plague.","Max von Sydow,Gunnar Björnstrand,Bengt Ekerot",1h 36min,"
    
      
    "
8.2,"Lock, Stock and Two Smoking Barrels ",8.2,Crime,Comedy,"A botched card game in London triggers four friends, thugs, weed-growers, hard gangsters, loan sharks and debt collectors to collide with each other in a series of unexpected events, all for the sake of weed, cash and two antique shotguns.","Jason Flemyng,Dexter Fletcher,Nick Moran",1h 47min,"
            £960,000
            
        "
8.2,Judgment at Nuremberg ,8.2,War,Drama,"In 1948, an American court in occupied Germany tries four Nazis judged for war crimes.","Spencer Tracy,Burt Lancaster,Richard Widmark",3h 6min,"
 $6,000,000, 
        "
8.2,The Gold Rush ,8.2,Comedy,Adventure,A prospector goes to the Klondike in search of gold and finds it and more.,"Charles Chaplin,Mack Swain,Tom Murray",1h 35min,"
 $5,450,000
        "
8.2,The Secret in Their Eyes ,8.2,Mystery,Drama,A retired legal counselor writes a novel hoping to find closure for one of his past unresolved homicide cases and for his unreciprocated love with his superior - both of which still haunt him decades later.,"Ricardo Darín,Soledad Villamil,Pablo Rago",2h 9min,"
            $2,000,000
            
        "
8.2,Ran ,8.2,Drama,Action,"In Medieval Japan, an elderly warlord retires, handing over his empire to his three sons. However, he vastly underestimates how the new-found power will corrupt them and cause them to turn on each other...and him.","Tatsuya Nakadai,Akira Terao,Jinpachi Nezu",2h 42min,"
             $90,000,
, 
        "
8.2,Inside Out ,8.2,Adventure,Animation,"After young Riley is uprooted from her Midwest life and moved to San Francisco, her emotions - Joy, Fear, Anger, Disgust and Sadness - conflict on how best to navigate a new city, house, and school.","Amy Poehler,Bill Hader,Lewis Black",1h 35min,"
            $175,000,000
            
        "
8.2,Howl's Moving Castle ,8.2,Adventure,Animation,"When an unconfident young woman is cursed with an old body by a spiteful witch, her only chance of breaking the spell lies with a self-indulgent yet insecure young wizard and his companions in his legged, walking castle.","Chieko Baishô,Takuya Kimura,Tatsuya Gashûin",1h 59min,"
             JPY 1,444,469,305
            (Japan),
, 
        "
8.2,My Neighbor Totoro ,8.2,Family,Animation,"When two girls move to the country to be near their ailing mother, they have adventures with the wondrous forest spirits who live nearby.","Hitoshi Takagi,Noriko Hidaka,Chika Sakamoto",1h 26min,"
    
,,      
    "
8.2,The Third Man ,8.2,Mystery,Film-Noir,"Pulp novelist Holly Martins travels to shadowy, postwar Vienna, only to find himself investigating the mysterious death of an old friend, Harry Lime.","Orson Welles,Joseph Cotten,Alida Valli",1h 33min,"
             $13,576,
, 
        "
8.2,Pan's Labyrinth ,8.2,Fantasy,Drama,"In the Falangist Spain of 1944, the bookish young stepdaughter of a sadistic army officer escapes into an eerie but captivating fantasy world.","Ivana Baquero,Ariadna Gil,Sergi López",1h 58min,"
            €13,500,000
            
        "
8.3,Children of Heaven ,8.3,Family,Drama,"After a boy loses his sister's pair of shoes, he goes on a series of adventures in order to find them. When he can't, he tries a new way to ""win"" a new pair.","Mohammad Amir Naji,Amir Farrokh Hashemian,Bahare Seddiqi",1h 29min,"
            $180,000
            
        "
8.2,Chinatown ,8.2,Mystery,Drama,"A private detective hired to expose an adulterer finds himself caught up in a web of deceit, corruption, and murder.","Jack Nicholson,Faye Dunaway,John Huston",2h 10min,"
            $6,000,000
            
        "
8.2,Raging Bull ,8.2,Drama,Biography,The life of boxer,"Robert De Niro,Cathy Moriarty,Joe Pesci",2h 9min,"
             $128,590,
, 
        "
8.2,The Great Escape ,8.2,Drama,Adventure,Allied prisoners of war plan for several hundred of their number to escape from a German camp during World War II.,"Steve McQueen,James Garner,Richard Attenborough",2h 52min,"
 $12,100,000
        "
8.3,Ikiru ,8.3,"25 March 1956 (USA)
",Drama,A bureaucrat tries to find a meaning in his life after he discovers he has terminal cancer.,"Takashi Shimura,Nobuo Kaneko,Shin'ichi Himori",2h 23min,"
 $60,239, 
        "
8.3,Green Book ,8.3,Comedy,Biography,A working-class Italian-American bouncer becomes the driver of an African-American classical pianist on a tour of venues through the 1960s American South.,"Viggo Mortensen,Mahershala Ali,Linda Cardellini",2h 10min,"
            $23,000,000
            
        "
8.3,Incendies ,8.3,Mystery,Drama,Twins journey to the Middle East to discover their family history and fulfill their mother's last wishes.,"Lubna Azabal,Mélissa Désormeaux-Poulin,Maxim Gaudette",2h 11min,"
            $6,800,000
            
        "
8.2,The Treasure of the Sierra Madre ,8.2,Drama,Adventure,"Fred Dobbs and Bob Curtin, two Americans searching for work in Mexico, convince an old prospector to help them mine for gold in the Sierra Madre Mountains.","Humphrey Bogart,Walter Huston,Tim Holt",2h 6min,"
 $5,014,000
        "
8.2,Heat ,8.2,Drama,Crime,A group of professional bank robbers start to feel the heat from police when they unknowingly leave a clue at their latest heist.,"Al Pacino,Robert De Niro,Val Kilmer",2h 50min,"
            $60,000,000
            
        "
8.2,Die Hard ,8.2,Thriller,Action,An NYPD officer tries to save his wife and several others taken hostage by German terrorists during a Christmas party at the Nakatomi Plaza in Los Angeles.,"Bruce Willis,Alan Rickman,Bonnie Bedelia",2h 12min,"
            $28,000,000
            
        "
8.2,Unforgiven ,8.2,Western,Drama,"Retired Old West gunslinger William Munny reluctantly takes on one last job, with the help of his old partner and a young man.","Clint Eastwood,Gene Hackman,Morgan Freeman",2h 10min,"
            $14,400,000
            
        "
8.3,Yojimbo ,8.3,Drama,Action,A crafty ronin comes to a town divided by two criminal gangs and decides to play them against each other to free the town.,"Toshirô Mifune,Eijirô Tôno,Tatsuya Nakadai",1h 50min,"
  Show more on
   »
  "
8.2,Some Like It Hot ,8.2,Music,Comedy,"When two male musicians witness a mob hit, they flee the state in an all-female band disguised as women, but further complications set in.","Marilyn Monroe,Tony Curtis,Jack Lemmon",2h 1min,"
 $25,000,000
        "
8.3,Rashomon ,8.3,Drama,Crime,"The rape of a bride and the murder of her samurai husband are recalled from the perspectives of a bandit, the bride, the samurai's ghost and a woodcutter.","Toshirô Mifune,Machiko Kyô,Masayuki Mori",1h 28min,"
 $96,568, 
        "
8.2,Downfall ,8.2,Drama,Biography,"Traudl Junge, the final secretary for Adolf Hitler, tells of the Nazi dictator's final days in his Berlin bunker at the end of WWII.","Bruno Ganz,Alexandra Maria Lara,Ulrich Matthes",2h 36min,"
            €13,500,000
            
        "
8.2,Indiana Jones and the Last Crusade ,8.2,Adventure,Action,"In 1938, after his father Professor Henry Jones, Sr. goes missing while pursuing the Holy Grail, Professor Henry ""Indiana"" Jones, Jr. finds himself up against","Harrison Ford,Sean Connery,Alison Doody",2h 7min,"
            $48,000,000
            
        "
8.2,Batman Begins ,8.2,Adventure,Action,"After training with his mentor, Batman begins his fight to free crime-ridden Gotham City from corruption.","Christian Bale,Michael Caine,Ken Watanabe",2h 20min,"
            $150,000,000
            
        "
8.3,All About Eve ,8.3,"27 October 1950 (USA)
",Drama,An ingénue insinuates herself into the lives of an established but aging stage actress and her circle of theater friends.,"Bette Davis,Anne Baxter,George Sanders",2h 18min,"
            $1,400,000
            
        "
8.3,A Separation ,8.3,Thriller,Drama,A married couple are faced with a difficult decision - to improve the life of their child by moving to another country or to stay in Iran and look after a deteriorating parent who has Alzheimer's disease.,"Payman Maadi,Leila Hatami,Sareh Bayat",2h 3min,"
            $500,000
            
        "
8.3,Monty Python and the Holy Grail ,8.3,Comedy,Adventure,"King Arthur and his Knights of the Round Table embark on a surreal, low-budget search for the Holy Grail, encountering many, very silly obstacles.","Graham Chapman,John Cleese,Eric Idle",1h 31min,"
             $45,487,
, 
        "
8.3,Metropolis ,8.3,Sci-Fi,Drama,"In a futuristic city sharply divided between the working class and the city planners, the son of the city's mastermind falls in love with a working class prophet who predicts the coming of a savior to mediate their differences.","Brigitte Helm,Alfred Abel,Gustav Fröhlich",2h 33min,"
            DEM 6,000,000
            
        "
8.2,Up ,8.2,Adventure,Animation,"Seventy-eight year old Carl Fredricksen travels to Paradise Falls in his home equipped with balloons, inadvertently taking a young stowaway.","Edward Asner,Jordan Nagai,John Ratzenberger",1h 36min,"
            $175,000,000
            
        "
8.3,L.A. Confidential ,8.3,Drama,Crime,"As corruption grows in 1950s Los Angeles, three policemen -- one strait-laced, one brutal, and one sleazy -- investigate a series of murders with their own brand of justice.","Kevin Spacey,Russell Crowe,Guy Pearce",2h 18min,"
            $35,000,000
            
        "
8.3,Scarface ,8.3,Drama,Crime,"In Miami in 1980, a determined Cuban immigrant takes over a drug cartel and succumbs to greed.","Al Pacino,Michelle Pfeiffer,Steven Bauer",2h 50min,"
             $4,597,536,
, 
        "
8.3,The Apartment ,8.3,Drama,Comedy,"A man tries to rise in his company by letting its executives use his apartment for trysts, but complications and a romance of his own ensue.","Jack Lemmon,Shirley MacLaine,Fred MacMurray",2h 5min,"
 $18,600,000
        "
8.3,For a Few Dollars More ,8.3,"10 May 1967 (USA)
",Western,Two bounty hunters with the same intentions team up to track down a Western outlaw.,"Clint Eastwood,Lee Van Cleef,Gian Maria Volontè",2h 12min,"
 $15,000,000
        "
8.3,Snatch ,8.3,Crime,Comedy,"Unscrupulous boxing promoters, violent bookmakers, a Russian gangster, incompetent amateur robbers and supposedly Jewish jewelers fight to track down a priceless stolen diamond.","Jason Statham,Brad Pitt,Benicio Del Toro",1h 42min,"
            £6,000,000
            
        "
8.3,Toy Story 3 ,8.3,Adventure,Animation,"The toys are mistakenly delivered to a day-care center instead of the attic right before Andy leaves for college, and it's up to Woody to convince the other toys that they weren't abandoned and to return home.","Tom Hanks,Tim Allen,Joan Cusack",1h 43min,"
            $200,000,000
            
        "
8.4,My Father and My Son ,8.4,Family,Drama,The family of a left-wing journalist is torn apart after a military coup in 1980's Turkey.,"Çetin Tekindor,Fikret Kuskan,Hümeyra",1h 48min,"
             $959,727
            (Turkey),

        "
8.3,The Sting ,8.3,Crime,Comedy,Two grifters team up to pull off the ultimate con.,"Paul Newman,Robert Redford,Robert Shaw",2h 9min,"
 $159,600,000
        "
8.3,To Kill a Mockingbird ,8.3,Drama,Crime,"Atticus Finch, a lawyer in the Depression-era South, defends a black man against an undeserved rape charge, and his children against prejudice.","Gregory Peck,John Megna,Frank Overton",2h 9min,"
            $2,000,000
            
        "
8.3,The Kid ,8.3,Drama,Comedy,"The Tramp cares for an abandoned child, but events put that relationship in jeopardy.","Charles Chaplin,Edna Purviance,Jackie Coogan",1h 8min,"
 $5,450,000
        "
8.3,Good Will Hunting ,8.3,Romance,Drama,"Will Hunting, a janitor at M.I.T., has a gift for mathematics, but needs help from a psychologist to find direction in his life.","Robin Williams,Matt Damon,Ben Affleck",2h 6min,"
            $10,000,000
            
        "
8.3,Taxi Driver ,8.3,Drama,Crime,"A mentally unstable veteran works as a nighttime taxi driver in New York City, where the perceived decadence and sleaze fuels his urge for violent action by attempting to liberate a presidential campaign worker and an underage prostitute.","Robert De Niro,Jodie Foster,Cybill Shepherd",1h 54min,"
 $28,262,574
        "
8.3,Bicycle Thieves ,8.3,"13 December 1949 (USA)
",Drama,"In post-war Italy, a working-class man's bicycle is stolen. He and his son set out to find it.","Lamberto Maggiorani,Enzo Staiola,Lianella Carell",1h 29min,"
             $11,845,
, 
        "
8.3,The Hunt ,8.3,"10 January 2013 (Denmark)
",Drama,"A teacher lives a lonely life, all the while struggling over his son's custody. His life slowly gets better as he finds love and receives good news from his son, but his new luck is about to be brutally shattered by an innocent little lie.","Mads Mikkelsen,Thomas Bo Larsen,Annika Wedderkopp",1h 55min,"
            $3,800,000
            
        "
8.3,Amélie ,8.3,Romance,Comedy,"Amélie is an innocent and naive girl in Paris with her own sense of justice. She decides to help those around her and, along the way, discovers love.","Audrey Tautou,Mathieu Kassovitz,Rufus",2h 2min,"
            FRF 77,000,000
            
        "
8.3,North by Northwest ,8.3,Mystery,Adventure,A New York City advertising executive goes on the run after being mistaken for a government agent by a group of foreign spies.,"Cary Grant,Eva Marie Saint,James Mason",2h 16min,"
 $13,275,000
        "
8.3,Inglourious Basterds ,8.3,Drama,Adventure,"In Nazi-occupied France during World War II, a plan to assassinate Nazi leaders by a group of Jewish U.S. soldiers coincides with a theatre owner's vengeful plans for the same.","Brad Pitt,Diane Kruger,Eli Roth",2h 33min,"
            $75,000,000
            
        "
8.3,Double Indemnity ,8.3,Drama,Crime,An insurance representative lets himself be talked into a murder/insurance fraud scheme that arouses the suspicion of an insurance investigator.,"Fred MacMurray,Barbara Stanwyck,Edward G. Robinson",1h 47min,"
            $927,262
            
        "
8.3,Vertigo ,8.3,Romance,Mystery,A former police detective juggles wrestling with his personal demons and becoming obsessed with a hauntingly beautiful woman.,"James Stewart,Kim Novak,Barbara Bel Geddes",2h 8min,"
             $10,783,
, 
        "
8.4,Das Boot ,8.4,Drama,Adventure,"The claustrophobic world of a WWII German U-boat; boredom, filth and sheer terror.","Jürgen Prochnow,Herbert Grönemeyer,Klaus Wennemann",2h 29min,"
            $14,000,000
            
        "
8.4,Once Upon a Time in America ,8.4,Drama,Crime,"A former Prohibition-era Jewish gangster returns to the Lower East Side of Manhattan over thirty years later, where he once again must confront the ghosts and regrets of his old life.","Robert De Niro,James Woods,Elizabeth McGovern",3h 49min,"
             $2,412,014,
, 
        "
8.3,Citizen Kane ,8.3,Mystery,Drama,"Following the death of a publishing tycoon, news reporters scramble to discover the meaning of his final utterance.","Orson Welles,Joseph Cotten,Dorothy Comingore",1h 59min,"
            $839,727
            
        "
8.4,Coco ,8.4,Adventure,Animation,"Aspiring musician Miguel, confronted with his family's ancestral ban on music, enters the Land of the Dead to find his great-great-grandfather, a legendary singer.","Anthony Gonzalez,Gael García Bernal,Benjamin Bratt",1h 45min,"
            $175,000,000
            
        "
8.4,American Beauty ,8.4,"1 October 1999 (USA)
",Drama,A sexually frustrated suburban father has a mid-life crisis after becoming infatuated with his daughter's best friend.,"Kevin Spacey,Annette Bening,Thora Birch",2h 2min,"
            $15,000,000
            
        "
8.4,Braveheart ,8.4,Drama,Biography,"When his secret bride is executed for assaulting an English soldier who tried to rape her, William Wallace begins a revolt against King Edward I of England.","Mel Gibson,Sophie Marceau,Patrick McGoohan",2h 58min,"
            $72,000,000
            
        "
8.4,Oldboy ,8.4,Drama,Action,"After being kidnapped and imprisoned for fifteen years, Oh Dae-Su is released, only to find that he must find his captor in five days.","Min-sik Choi,Ji-tae Yu,Hye-jeong Kang",2h,"
            $3,000,000
            
        "
8.4,Witness for the Prosecution ,8.4,Drama,Crime,A veteran British barrister must defend his client in a murder trial that has surprise after surprise.,"Tyrone Power,Marlene Dietrich,Charles Laughton",1h 56min,"
 $8,175,000
        "
8.4,Aliens ,8.4,Adventure,Action,"Ellen Ripley is rescued by a deep salvage team after being in hypersleep for 57 years. The moon that the Nostromo visited has been colonized, but contact is lost. This time, colonial marines have impressive firepower, but will that be enough?","Sigourney Weaver,Michael Biehn,Carrie Henn",2h 17min,"
            $18,500,000
            
        "
8.4,The Dark Knight Rises ,8.4,Thriller,Action,"Eight years after the Joker's reign of anarchy, Batman, with the help of the enigmatic Catwoman, is forced from his exile to save Gotham City, now on the edge of total annihilation, from the brutal guerrilla terrorist Bane.","Christian Bale,Tom Hardy,Anne Hathaway",2h 44min,"
            $250,000,000
            
        "
8.2,Warrior ,8.2,Sport,Drama,"The youngest son of an alcoholic former boxer returns home, where he's trained by his father for competition in a mixed martial arts tournament - a path that puts the fighter on a collision course with his estranged, older brother.","Tom Hardy,Nick Nolte,Joel Edgerton",2h 20min,"
            $25,000,000
            
        "
8.4,The Shining ,8.4,Horror,Drama,"A family heads to an isolated hotel for the winter where a sinister presence influences the father into violence, while his psychic son sees horrific forebodings from both past and future.","Jack Nicholson,Shelley Duvall,Danny Lloyd",2h 26min,"
            $19,000,000
            
        "
8.4,Django Unchained ,8.4,Western,Drama,"With the help of a German bounty hunter, a freed slave sets out to rescue his wife from a brutal Mississippi plantation owner.","Jamie Foxx,Christoph Waltz,Leonardo DiCaprio",2h 45min,"
            $100,000,000
            
        "
8.4,Princess Mononoke ,8.4,Adventure,Animation,"On a journey to find the cure for a Tatarigami's curse, Ashitaka finds himself in the middle of a war between the forest gods and Tatara, a mining colony. In this quest he also meets San, the Mononoke Hime.","Yôji Matsuda,Yuriko Ishida,Yûko Tanaka",2h 14min,"
             $144,446,
, 
        "
8.4,Paths of Glory ,8.4,War,Drama,"After refusing to attack an enemy position, a general accuses the soldiers of cowardice and their commanding officer must defend them.","Kirk Douglas,Ralph Meeker,Adolphe Menjou",1h 28min,"
    
      
    "
8.3,Full Metal Jacket ,8.3,War,Drama,A pragmatic U.S. Marine observes the dehumanizing effects the Vietnam War has on his fellow recruits from their brutal boot camp training to the bloody street fighting in Hue.,"Matthew Modine,R. Lee Ermey,Vincent D'Onofrio",1h 56min,"
             $2,217,307,
, 
        "
8.4,The Lives of Others ,8.4,Thriller,Drama,"In 1984 East Berlin, an agent of the secret police, conducting surveillance on a writer and his lover, finds himself becoming increasingly absorbed by their lives.","Ulrich Mühe,Martina Gedeck,Sebastian Koch",2h 17min,"
            $2,000,000
            
        "
8.5,Spider-Man: Into the Spider-Verse ,8.5,Action,Animation,"Teen Miles Morales becomes Spider-Man of his reality, crossing his path with five counterparts from other dimensions to stop a threat for all realities.","Shameik Moore,Jake Johnson,Hailee Steinfeld",1h 57min,"
             $35,363,376,
, 
        "
8.4,Sunset Boulevard ,8.4,Film-Noir,Drama,A screenwriter develops a dangerous relationship with a faded film star determined to make a triumphant return.,"William Holden,Gloria Swanson,Erich von Stroheim",1h 50min,"
 $5,123,000, 
        "
8.4,WALL·E ,8.4,Adventure,Animation,"In the distant future, a small waste-collecting robot inadvertently embarks on a space journey that will ultimately decide the fate of mankind.","Ben Burtt,Elissa Knight,Jeff Garlin",1h 38min,"
            $180,000,000
            
        "
8.5,The Great Dictator ,8.5,Drama,Comedy,Dictator Adenoid Hynkel tries to expand his empire while a poor Jewish barber tries to avoid persecution from Hynkel's regime.,"Charles Chaplin,Paulette Goddard,Jack Oakie",2h 5min,"
 $5,000,000, 
        "
8.5,Avengers: Infinity War ,8.5,Adventure,Action,The Avengers and their allies must be willing to sacrifice all in an attempt to defeat the powerful Thanos before his blitz of devastation and ruin puts an end to the universe.,"Robert Downey Jr.,Chris Hemsworth,Mark Ruffalo",2h 29min,"
            $321,000,000
            
        "
8.5,Alien ,8.5,Sci-Fi,Horror,"After a space merchant vessel perceives an unknown transmission as a distress call, its landing on the source moon finds one of the crew attacked by a mysterious lifeform, and they soon realize that its life cycle has merely begun.","Sigourney Weaver,Tom Skerritt,John Hurt",1h 57min,"
            $11,000,000
            
        "
8.5,Grave of the Fireflies ,8.5,Drama,Animation,A young boy and his little sister struggle to survive in Japan during World War II.,"Tsutomu Tatsumi,Ayano Shiraishi,Akemi Yamaguchi",1h 29min,"
  Show more on
   »
  "
8.5,Apocalypse Now ,8.5,War,Drama,A U.S. Army officer serving in Vietnam is tasked with assassinating a renegade Special Forces Colonel who sees himself as a god.,"Martin Sheen,Marlon Brando,Robert Duvall",2h 27min,"
            $31,500,000
            
        "
8.5,The Prestige ,8.5,Mystery,Drama,"After a tragic accident, two stage magicians engage in a battle to create the ultimate illusion while sacrificing everything they have to outwit each other.","Christian Bale,Hugh Jackman,Scarlett Johansson",2h 10min,"
            $40,000,000
            
        "
8.5,Memento ,8.5,Thriller,Mystery,A man with short-term memory loss attempts to track down his wife's murderer.,"Guy Pearce,Carrie-Anne Moss,Joe Pantoliano",1h 53min,"
            $9,000,000
            
        "
8.5,Raiders of the Lost Ark ,8.5,Adventure,Action,"In 1936, archaeologist and adventurer Indiana Jones is hired by the U.S. government to find the Ark of the Covenant before","Harrison Ford,Karen Allen,Paul Freeman",1h 55min,"
            $18,000,000
            
        "
8.5,Gladiator ,8.5,Adventure,Action,A former Roman General sets out to exact vengeance against the corrupt emperor who murdered his family and sent him into slavery.,"Russell Crowe,Joaquin Phoenix,Connie Nielsen",2h 35min,"
            $103,000,000
            
        "
8.5,Rear Window ,8.5,Thriller,Mystery,A wheelchair-bound photographer spies on his neighbors from his apartment window and becomes convinced one of them has committed murder.,"James Stewart,Grace Kelly,Wendell Corey",1h 52min,"
             $234,258,
, 
        "
8.5,The Lion King ,8.5,Adventure,Animation,"A Lion cub crown prince is tricked by a treacherous uncle into thinking he caused his father's death and flees into exile in despair, only to learn in adulthood his identity and his responsibilities.","Matthew Broderick,Jeremy Irons,James Earl Jones",1h 28min,"
            $45,000,000
            
        "
8.5,Terminator 2: Judgment Day ,8.5,Sci-Fi,Action,"A cyborg, identical to the one who failed to kill Sarah Connor, must now protect her teenage son, John Connor, from a more advanced and powerful cyborg.","Arnold Schwarzenegger,Linda Hamilton,Edward Furlong",2h 17min,"
            $102,000,000
            
        "
8.5,Back to the Future ,8.5,Comedy,Adventure,"Marty McFly, a 17-year-old high school student, is accidentally sent thirty years into the past in a time-traveling DeLorean invented by his close friend, the maverick scientist Doc Brown.","Michael J. Fox,Christopher Lloyd,Lea Thompson",1h 56min,"
            $19,000,000
            
        "
8.5,The Intouchables ,8.5,Comedy,Biography,"After he becomes a quadriplegic from a paragliding accident, an aristocrat hires a young man from the projects to be his caregiver.","François Cluzet,Omar Sy,Anne Le Ny",1h 52min,"
            €9,500,000
            
        "
8.5,Whiplash ,8.5,Music,Drama,A promising young drummer enrolls at a cut-throat music conservatory where his dreams of greatness are mentored by an instructor who will stop at nothing to realize a student's potential.,"Miles Teller,J.K. Simmons,Melissa Benoist",1h 46min,"
            $3,300,000
            
        "
8.5,Once Upon a Time in the West ,8.5,"4 July 1969 (USA)
",Western,A mysterious stranger with a harmonica joins forces with a notorious desperado to protect a beautiful widow from a ruthless assassin working for the railroad.,"Henry Fonda,Charles Bronson,Claudia Cardinale",2h 45min,"
 $5,321,508, 
        "
8.5,Modern Times ,8.5,Drama,Comedy,The Tramp struggles to live in modern industrial society with the help of a young homeless woman.,"Charles Chaplin,Paulette Goddard,Henry Bergman",1h 27min,"
             $11,507,
, 
        "
8.5,The Departed ,8.5,Drama,Crime,An undercover cop and a mole in the police attempt to identify each other while infiltrating an Irish gang in South Boston.,"Leonardo DiCaprio,Matt Damon,Jack Nicholson",2h 31min,"
            $90,000,000
            
        "
8.5,Casablanca ,8.5,Romance,Drama,A cynical American expatriate struggles to decide whether or not he should help his former lover and her fugitive husband escape French Morocco.,"Humphrey Bogart,Ingrid Bergman,Paul Henreid",1h 42min,"
            $950,000
            
        "
8.5,Cinema Paradiso ,8.5,"23 February 1990 (USA)
",Drama,A filmmaker recalls his childhood when falling in love with the pictures at the cinema of his home village and forms a deep friendship with the cinema's projectionist.,"Philippe Noiret,Enzo Cannavale,Antonella Attili",2h 35min,"
            $5,000,000
            
        "
8.5,The Pianist ,8.5,Drama,Biography,A Polish Jewish musician struggles to survive the destruction of the Warsaw ghetto of World War II.,"Adrien Brody,Thomas Kretschmann,Frank Finlay",2h 30min,"
            $35,000,000
            
        "
8.5,American History X ,8.5,"20 November 1998 (USA)
",Drama,A former neo-nazi skinhead tries to prevent his younger brother from going down the same wrong path that he did.,"Edward Norton,Edward Furlong,Beverly D'Angelo",1h 59min,"
            $7,500,000
            
        "
8.5,Psycho ,8.5,Mystery,Horror,"A Phoenix secretary embezzles forty thousand dollars from her employer's client, goes on the run, and checks into a remote motel run by a young man under the domination of his mother.","Anthony Perkins,Janet Leigh,Vera Miles",1h 49min,"
 $32,000,000
        "
8.6,The Green Mile ,8.6,Drama,Crime,"The lives of guards on Death Row are affected by one of their charges: a black man accused of child murder and rape, yet who has a mysterious gift.","Tom Hanks,Michael Clarke Duncan,David Morse",3h 9min,"
            $60,000,000
            
        "
8.5,City Lights ,8.5,Drama,Comedy,"With the aid of a wealthy erratic tippler, a dewy-eyed tramp who has fallen in love with a sightless flower girl accumulates money to be able to help her medically.","Charles Chaplin,Virginia Cherrill,Florence Lee",1h 27min,"
 $19,181, 
        "
8.6,Interstellar ,8.6,Drama,Adventure,A team of explorers travel through a wormhole in space in an attempt to ensure humanity's survival.,"Matthew McConaughey,Anne Hathaway,Jessica Chastain",2h 49min,"
            $165,000,000
            
        "
8.6,The Usual Suspects ,8.6,Mystery,Crime,"A sole survivor tells of the twisty events leading up to a horrific gun battle on a boat, which began when five criminals met at a seemingly random police lineup.","Kevin Spacey,Gabriel Byrne,Chazz Palminteri",1h 46min,"
            $6,000,000
            
        "
8.6,Spirited Away ,8.6,Adventure,Animation,"During her family's move to the suburbs, a sullen 10-year-old girl wanders into a world ruled by gods, witches, and spirits, and where humans are changed into beasts.","Daveigh Chase,Suzanne Pleshette,Miyu Irino",2h 5min,"
             $8,898,000
            (Japan),
, 
        "
8.6,The Silence of the Lambs ,8.6,Drama,Crime,"A young F.B.I. cadet must receive the help of an incarcerated and manipulative cannibal killer to help catch another serial killer, a madman who skins his victims.","Jodie Foster,Anthony Hopkins,Lawrence A. Bonney",1h 58min,"
            $19,000,000
            
        "
8.6,Life Is Beautiful ,8.6,Drama,Comedy,"When an open-minded Jewish librarian and his son become victims of the Holocaust, he uses a perfect mixture of will, humor, and imagination to protect his son from the dangers around their camp.","Roberto Benigni,Nicoletta Braschi,Giorgio Cantarini",1h 56min,"
            $20,000,000
            
        "
