,Player,Number,Position,Height
166,JustinAnderson,1,Guard-Forward,6 ft 6 in | 230 lbs
167,KentBazemore,24,Guard,6 ft 5 in | 201 lbs
168,DeAndre'Bembry,95,Forward,6 ft 6 in | 210 lbs
169,VinceCarter,15,Forward-Guard,6 ft 6 in | 220 lbs
170,JohnCollins,20,Forward-Center,6 ft 10 in | 235 lbs
171,DewayneDedmon,14,Center,7 ft 0 in | 245 lbs
172,KevinHuerter,3,Guard,6 ft 7 in | 190 lbs
173,IsaacHumphries,8,Center,7 ft 0 in | 260 lbs
174,AlexLen,25,Center,7 ft 1 in | 250 lbs
175,MilesPlumlee,18,Center,6 ft 11 in | 249 lbs
176,AlexPoythress,22,Forward,6 ft 9 in | 235 lbs
177,TaureanPrince,12,Forward,6 ft 8 in | 220 lbs
178,OmariSpellman,6,Forward,6 ft 9 in | 245 lbs
179,TraeYoung,11,Guard,6 ft 2 in | 180 lbs
180,JaylenAdams,10,Guard,6 ft 2 in | 190 lbs
181,JustinAnderson,1,Guard-Forward,6 ft 6 in | 230 lbs
182,KentBazemore,24,Guard,6 ft 5 in | 201 lbs
183,DeAndre'Bembry,95,Forward,6 ft 6 in | 210 lbs
184,VinceCarter,15,Forward-Guard,6 ft 6 in | 220 lbs
185,JohnCollins,20,Forward-Center,6 ft 10 in | 235 lbs
186,DewayneDedmon,14,Center,7 ft 0 in | 245 lbs
187,KevinHuerter,3,Guard,6 ft 7 in | 190 lbs
188,IsaacHumphries,8,Center,7 ft 0 in | 260 lbs
